Distance (km),Shanghai,Changshu,Nantong,Zhangjiagang,Jiangyin,Gaogang,Zhenjiang,Nanjing,Ma'anshan,Wuhu,Hefei,Tongling,Chizhou,Anqing,Jiujiang,Nanchang,Huangshi,Huanggang,Wuhan,Jiayu,Honghu,Chenglingji
Shanghai,0,66,95,117,153,215,270,350,396,439,573,533,573,631,784,948,900,932,1029,1156,1201,1257
Changshu,66,0,29,51,87,149,204,284,330,373,507,467,507,565,718,882,834,866,963,1090,1135,1191
Nantong,95,29,0,22,58,120,175,255,301,344,478,438,478,536,689,853,805,837,934,1061,1106,1162
Zhangjiagang,117,51,22,0,36,98,153,233,279,322,456,416,456,514,667,831,783,815,912,1039,1084,1140
Jiangyin,153,87,58,36,0,62,117,197,243,286,420,380,420,478,631,795,747,779,876,1003,1048,1104
Gaogang,215,149,120,98,62,0,55,135,181,224,358,318,358,416,569,733,685,717,814,941,986,1042
Zhenjiang,270,204,175,153,117,55,0,80,126,169,303,263,303,361,514,678,630,662,759,886,931,987
Nanjing,350,284,255,233,197,135,80,0,46,89,223,183,223,281,434,598,550,582,679,806,851,907
Ma'anshan,396,330,301,279,243,181,126,46,0,43,177,137,177,235,388,552,504,536,633,760,805,861
Wuhu,439,373,344,322,286,224,169,89,43,0,134,94,134,192,345,509,461,493,590,717,762,818
Hefei,573,507,478,456,420,358,303,223,177,134,0,228,268,326,479,643,595,627,724,851,896,952
Tongling,533,467,438,416,380,318,263,183,137,94,228,0,40,98,251,415,367,399,496,623,668,724
Chizhou,573,507,478,456,420,358,303,223,177,134,268,40,0,58,211,375,327,359,456,583,628,684
Anqing,631,565,536,514,478,416,361,281,235,192,326,98,58,0,153,317,269,301,398,525,570,626
Jiujiang,784,718,689,667,631,569,514,434,388,345,479,251,211,153,0,164,116,148,245,372,417,473
Nanchang,948,882,853,831,795,733,678,598,552,509,643,415,375,317,164,0,280,312,409,536,581,637
Huangshi,900,834,805,783,747,685,630,550,504,461,595,367,327,269,116,280,0,32,129,256,301,357
Huanggang,932,866,837,815,779,717,662,582,536,493,627,399,359,301,148,312,32,0,97,224,269,325
Wuhan,1029,963,934,912,876,814,759,679,633,590,724,496,456,398,245,409,129,97,0,127,172,228
Jiayu,1156,1090,1061,1039,1003,941,886,806,760,717,851,623,583,525,372,536,256,224,127,0,45,101
Honghu,1201,1135,1106,1084,1048,986,931,851,805,762,896,668,628,570,417,581,301,269,172,45,0,56
Chenglingji,1257,1191,1162,1140,1104,1042,987,907,861,818,952,724,684,626,473,637,357,325,228,101,56,0